season,seedno,result,teamID,teamName,region
1998,1,1,3397,Tennessee,Y
1998,3,2,3256,Louisiana Tech,X
1998,4,3.4,3301,NC State,W
1998,9,3.4,3116,Arkansas,Z
1999,1,1,3345,Purdue,Y
1999,3,2,3181,Duke,W
1999,3,3.4,3208,Georgia,X
1999,1,3.4,3256,Louisiana Tech,Z
2000,1,1,3163,Connecticut,W
2000,1,2,3397,Tennessee,Y
2000,2,3.4,3336,Penn St,X
2000,2,3.4,3353,Rutgers,Z
2001,1,1,3323,Notre Dame,X
2001,3,2,3345,Purdue,Y
2001,5,3.4,3283,Missouri St,Z
2001,1,3.4,3163,Connecticut,W
2002,1,1,3163,Connecticut,Y
2002,1,2,3328,Oklahoma,X
2002,2,3.4,3397,Tennessee,Z
2002,1,3.4,3181,Duke,W
2003,1,1,3163,Connecticut,W
2003,1,2,3397,Tennessee,Y
2003,1,3.4,3181,Duke,Z
2003,2,3.4,3400,Texas,X
2004,2,1,3163,Connecticut,W
2004,1,2,3397,Tennessee,Y
2004,4,3.4,3261,LSU,Z
2004,7,3.4,3278,Minnesota,X
2005,2,1,3124,Baylor,X
2005,1,2,3277,Michigan St,Y
2005,1,3.4,3261,LSU,W
2005,1,3.4,3397,Tennessee,Z
2006,2,1,3268,Maryland,W
2006,1,2,3181,Duke,Y
2006,1,3.4,3261,LSU,Z
2006,1,3.4,3314,North Carolina,X
2007,1,1,3397,Tennessee,X
2007,4,2,3353,Rutgers,Z
2007,3,3.4,3261,LSU,Y
2007,1,3.4,3314,North Carolina,W
2008,1,1,3397,Tennessee,Z
2008,2,2,3390,Stanford,X
2008,1,3.4,3163,Connecticut,W
2008,2,3.4,3261,LSU,Y
2009,1,1,3163,Connecticut,X
2009,3,2,3257,Louisville,Z
2009,2,3.4,3390,Stanford,W
2009,1,3.4,3328,Oklahoma,Y
2010,1,1,3163,Connecticut,W
2010,1,2,3390,Stanford,Z
2010,3,3.4,3328,Oklahoma,Y
2010,4,3.4,3124,Baylor,X
2011,2,1,3401,Texas A&M,W
2011,2,2,3323,Notre Dame,Y
2011,1,3.4,3163,Connecticut,Z
2011,1,3.4,3390,Stanford,X
2012,1,1,3124,Baylor,W
2012,1,2,3323,Notre Dame,Z
2012,1,3.4,3390,Stanford,X
2012,1,3.4,3163,Connecticut,Y
2013,1,1,3163,Connecticut,W
2013,5,2,3257,Louisville,Y
2013,1,3.4,3323,Notre Dame,X
2013,2,3.4,3143,California,Z
2014,1,1,3163,Connecticut,W
2014,1,2,3323,Notre Dame,Z
2014,4,3.4,3268,Maryland,Y
2014,2,3.4,3390,Stanford,X
2015,1,1,3163,Connecticut,W
2015,1,2,3323,Notre Dame,Z
2015,1,3.4,3376,South Carolina,Y
2015,1,3.4,3268,Maryland,X
2016,1,1,3163,Connecticut,W
2016,4,2,3393,Syracuse,Z
2016,7,3.4,3449,Washington,Y
2016,2,3.4,3333,Oregon St,X
2017,1,1,3376,South Carolina,Z
2017,2,2,3280,Mississippi St,X
2017,1,3.4,3163,Connecticut,W
2017,2,3.4,3390,Stanford,Y
2018,1,1,3323,Notre Dame,X
2018,1,2,3280,Mississippi St,Y
2018,1,3.4,3163,Connecticut,W
2018,1,3.4,3257,Louisville,Z
2019,1,1,3323,Baylor,Z
2019,2,2,3280,Connecticut,W
2019,1,3.4,3163,Notre Dame,X
2019,2,3.4,3257,Oregon,Y