Season,Drake,Indiana,Tennessee,Quinnipiac,Ark Little Rock,UCF,Wright St,Boise St,New Mexico St,Fordham,Portland St,Abilene Chr
2010,17,17,1,17,11,17,17,17,17,17,15,17
2011,17,17,1,17,12,13,17,17,17,17,17,17
2012,17,17,2,17,14,17,17,17,17,17,17,17
2013,17,17,2,13,17,17,17,17,17,17,17,17
2014,17,17,1,17,17,17,14,17,17,10,17,17
2015,17,17,2,12,11,17,17,15,16,17,17,17
2016,17,9,7,17,17,17,17,17,15,17,17,17
2017,10,17,5,12,17,17,17,13,15,17,17,17
2018,13,17,3,9,14,17,17,16,17,17,17,17
2019,10,10,11,11,12,12,13,13,14,14,15,16